,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration
27812,New York Marine and General Insurance Company,7007625,1/18/2018,1/31/2018,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,13
27813,State Farm Mutual Automobile Insurance Company,7020579,7/24/2019,9/5/2019,Individual Private Passenger,Liability,PolicyHolder Service,Unsatisfactory Refund of Premium,Compromised Settlement/Resolution,Satisfactory Explanation,0,Closed,43
27815,GEICO Indemnity Company,7012411,9/25/2018,10/12/2018,Individual Private Passenger,Liability,Underwriting,Cancellation,Company Position Substantiated,Company Position Upheld,0,Closed,17
27818,Permanent General Assurance Corporation,7007506,9/10/2021,1/27/2022,Individual Private Passenger,Collision,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,0,Closed,139
27819,Metropolitan Life Insurance Company,7049070,11/1/2022,11/17/2022,Individual Life,Whole Life,PolicyHolder Service,Delays/No Response,Compromised Settlement/Resolution,Furnished Information,0,Closed,16
27825,Republic&ndash;Franklin Insurance Company,7012017,9/19/2018,10/9/2018,Workers&squo; Compensation,Liability,PolicyHolder Service,Unsatisfactory Refund of Premium,Company Position Substantiated,Company Position Upheld,0,Closed,20
27826,Liberty Insurance Corporation,7013812,12/6/2018,12/26/2018,Homeowners,Homeowners,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,20
27830,American Modern Home Insurance Company,7020465,4/12/2019,5/10/2019,Renter/Tenants,Tenant Homeowners,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,28
27831,Utica Mutual Insurance Company,7044230,4/6/2022,4/28/2022,Individual Private Passenger,Rental Reimbursement,Claim Handling,Loss of Use,Company Position Substantiated,Company Position Upheld,0,Closed,22
27836,ReliaStar Life Insurance Company,7049176,11/4/2022,12/1/2022,Individual Life,Universal,PolicyHolder Service,Policy Service Delay by Insurer,Company Position Substantiated,Contract Provision,0,Closed,27
27839,Allstate Fire and Casualty Insurance Company,7049112,11/3/2022,11/16/2022,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,13
27840,Brighthouse Life Insurance Company,7048490,10/7/2022,12/1/2022,Individual Life,Universal,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Contract Provision,0,Closed,55
27841,Hartford Life and Accident Insurance Company,7006407,12/28/2017,2/6/2018,Individual Life,Liability,Marketing & Sales,Misleading Advertising,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,40
27843,State Farm Fire & Casualty Company,7006578,10/15/2021,11/22/2021,Individual Private Passenger,Rental Reimbursement,Claim Handling,Loss of Use,Claim Settled,Company Position Upheld,0,Closed,38
27844,GEICO Indemnity Company,7043894,3/21/2022,3/31/2022,Individual Private Passenger,Comprehensive,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,10
27846,Guarantee Trust Life Insurance Company,7006479,2/16/2018,3/6/2018,Individual,Limited Benefits,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,18
27847,LM General Insurance Company,7017123,7/31/2018,8/21/2018,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,0,Closed,21
27848,Liberty Mutual Personal Insurance Company,7050525,1/5/2023,1/26/2023,Individual Private Passenger,Collision,Underwriting,Non&ndash;Renewal,Company Position Substantiated,Company Position Upheld,0,Closed,21
27856,United Services Automobile Association,7018541,12/17/2019,12/30/2019,Individual Private Passenger,Physical Damage,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,13
27857,Federal Insurance Company,7016554,9/7/2018,10/10/2018,Condo/Townhome,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,33
27858,"Oxford Health Plans (CT), Inc",7004042,10/6/2020,10/20/2020,Group,Health Only,Claim Handling,Claim Denial,Claim Settled,Company Position Upheld,160,Closed,14
27859,Mid&ndash;Century Insurance Company,7017424,5/8/2018,5/23/2018,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,15
27861,Progressive Casualty Insurance Company,7002591,6/26/2020,7/27/2020,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,31
27867,Ohio Mutual Insurance Company,7000376,2/3/2020,2/18/2020,Individual Private Passenger,Medical Payments,Claim Handling,Claim Delay,Company Position Substantiated,Corrective Action,3400,Closed,15
27868,Lincoln National Life Insurance Company (The),7001368,3/30/2020,4/9/2020,Group,Disability Income,Claim Handling,Claim Denial,Company Position Substantiated,No Action Necessary,0,Closed,10
27869,Hartford Steam Boiler Inspection and Insurance Company,7041478,12/15/2021,12/16/2021,Homeowners,Liability,Claim Handling,Claim Denial,No Jurisdiction,Policy not written in CT,0,Closed,1
27870,"ConnectiCare Insurance Company, Inc",7010660,4/30/2021,5/24/2021,A & H,Liability,Claim Handling,Claim Denial,No Action Requested/Required,Company Position Upheld,0,Closed,24
27871,GEICO General Insurance Company,7008738,3/18/2021,4/30/2021,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,43
27872,"Anthem Health Plans, Inc",7009176,5/17/2021,6/10/2021,A & H,Liability,Claim Handling,Claim Procedure,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,24
27874,CSAA Affinity Insurance Company,7012019,9/19/2018,9/25/2018,Individual Private Passenger,Physical Damage,Claim Handling,After Market Parts/Unsatisfactory Settlement,Company Position Substantiated,No Action Necessary,0,Closed,6
27877,Harleysville Preferred Insurance Company,7002792,6/10/2020,6/23/2020,Homeowners,Homeowners,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,13
27878,Old Republic Insurance Company,7052081,2/27/2023,2/27/2023,Workers&squo; Compensation,Liability,Claim Handling,Claim Denial,No Jurisdiction,No Authority,0,Closed,0
27882,Kemper Independence Insurance Company,7000960,2/13/2020,3/9/2020,Individual Private Passenger,Liability,Claim Handling,Diminished Value,No Jurisdiction,Company Position Upheld,0,Closed,25
27883,Progressive Casualty Insurance Company,7048771,10/20/2022,11/9/2022,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,20
27886,Nationwide Mutual Insurance Company,7018523,12/16/2019,1/10/2020,Travel,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,25
27888,GEICO General Insurance Company,7046611,7/18/2022,8/23/2022,Individual Private Passenger,Liability,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0,Closed,36
27890,Century&ndash;National Insurance Company,7004934,11/6/2020,11/23/2020,Individual Private Passenger,Liability,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0,Closed,17
27893,Liberty Mutual Personal Insurance Company,7048443,10/5/2022,11/15/2022,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,41
27894,National Indemnity Company,7006593,10/18/2021,11/26/2021,Commercial,Liability,Underwriting,Underwriting Delays,Company Position Substantiated,Contract Provision,0,Closed,39
27897,Progressive Casualty Insurance Company,7049678,11/25/2022,12/13/2022,Individual Private Passenger,Comprehensive,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,Enter Arbitration,0,Closed,18
27899,UnitedHealthcare Insurance Company,7005466,1/13/2021,2/1/2021,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,19
27904,Guarantee Trust Life Insurance Company,7006883,3/8/2018,4/30/2018,A & H,Liability,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,53
27907,State Farm Fire & Casualty Company,7052177,3/1/2023,3/16/2023,Homeowners,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,15
27908,Nationwide General Insurance Company,7018099,10/10/2019,11/18/2019,Individual Private Passenger,Physical Damage,Claim Handling,Unsatisfactory Settlement/Offer,No Jurisdiction,Company Position Upheld,0,Closed,39
27909,CSAA General Insurance Company,7003931,9/29/2020,10/21/2020,Homeowners,Homeowners,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,22
27910,Kemper Independence Insurance Company,7020445,9/23/2019,10/21/2019,Individual Private Passenger,Physical Damage,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,28
27912,Jackson National Life Insurance Company,7049258,11/9/2022,12/1/2022,Individual Life,Term,PolicyHolder Service,Premium Refund Delay,Company Position Substantiated,Contract Provision,0,Closed,22
27915,SAFECO Insurance Company of Illinois,7019015,9/30/2019,10/31/2019,Individual Private Passenger,Liability,Claim Handling,Diminished Value,No Jurisdiction,Company Position Upheld,0,Closed,31
27918,Narragansett Bay Insurance Company,7051047,1/23/2023,2/15/2023,Homeowners,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0,Closed,23
27919,Nationwide General Insurance Company,7006868,3/8/2018,3/14/2018,Individual Private Passenger,Liability,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,No Action Necessary,0,Closed,6
27921,Federal Insurance Company,7020836,9/18/2019,10/8/2019,Individual,Limited Benefits,Claim Handling,Claim Denial,Claim Settled,Company Position Upheld,600,Closed,20
27923,"Anthem Health Plans, Inc",7050930,1/19/2023,2/24/2023,A & H,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,36
27924,GEICO General Insurance Company,7006858,3/7/2018,8/2/2018,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,148
27925,Century&ndash;National Insurance Company,7004103,10/13/2020,10/27/2020,Individual Private Passenger,Physical Damage,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,Justified,720,Closed,14
27927,State Farm Mutual Automobile Insurance Company,7052026,2/24/2023,3/9/2023,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0,Closed,13
27930,"Anthem Health Plans, Inc",7046295,7/5/2022,11/4/2022,A & H,Health Only,Claim Handling,Claim Denial,Company Position Overturned,Corrective Action,0,Closed,122
27932,"Anthem Health Plans, Inc",7004778,11/23/2020,12/3/2020,A & H,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,10
27933,Progressive Direct Insurance Company,7044771,4/28/2022,7/26/2022,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Company Position Substantiated,Enter Arbitration,0,Closed,89
27934,"Anthem Health Plans, Inc",7008325,9/23/2021,9/24/2021,A & H,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Record Only,0,Closed,1
27937,Standard Fire Insurance Company (The),7012979,10/3/2018,12/19/2018,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Questionable,0,Closed,77
27938,Hartford Insurance Company of the Midwest,7008918,3/30/2021,4/19/2021,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Justified,0,Closed,20
27942,Republic&ndash;Franklin Insurance Company,7000465,2/6/2020,2/24/2020,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Company Position Substantiated,Company Position Upheld,0,Closed,18
27943,Allstate Fire and Casualty Insurance Company,7000282,1/27/2020,2/14/2020,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Justified,0,Closed,18
27946,Nationwide General Insurance Company,7015186,6/28/2018,7/30/2018,Individual Private Passenger,Liability,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Corrective Action,0,Closed,32
27950,Homesite Insurance Company,7008240,2/23/2018,3/22/2018,Homeowners,Homeowners,Claim Handling,Claim Delay,No Jurisdiction,Company Position Upheld,0,Closed,27
27951,Nationwide Mutual Insurance Company,7001835,4/28/2020,5/18/2020,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,20
27958,LM General Insurance Company,7018017,10/9/2019,11/5/2019,Individual Private Passenger,Physical Damage,Claim Handling,Claim Procedure,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,27
27959,USAA General Indemnity Company,7011795,2/6/2019,3/6/2019,Individual Private Passenger,Liability,Claim Handling,Claim Procedure,Claim Settled,Company Position Upheld,0,Closed,28
27960,USAA General Indemnity Company,7008376,11/30/2017,1/2/2018,Homeowners,Homeowners,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,33
27961,AAA Life Insurance Company,7043247,2/22/2022,3/18/2022,Individual Life,Whole Life,PolicyHolder Service,Premium/Notice,Complaint Withdrawn,No Cause For Action,0,Closed,24
27963,Ohio Security Insurance Company,7004808,11/24/2020,12/17/2020,Commercial Multi&ndash;Peril,Commercial Multi&ndash;Peril,Claim Handling,Claim Denial,Company Position Substantiated,Justified,14269.44,Closed,23
27964,Travelers Home and Marine Insurance Company (The),7017942,11/22/2019,12/20/2019,Homeowners,Homeowners,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,28
27966,"Sentinel Insurance Company, Ltd",7043446,3/1/2022,3/31/2022,Commercial Multi&ndash;Peril,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Claim Paid,0,Closed,30
27967,"Anthem Health Plans, Inc",7011844,9/18/2018,1/15/2019,Group,Health Only,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,2571.25,Closed,119
27970,Utica First Insurance Company,7008861,1/28/2021,2/5/2021,Commercial Multi&ndash;Peril,Commercial Multi&ndash;Peril,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,8
27972,UnitedHealthcare Insurance Company,7044986,5/9/2022,6/13/2022,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,35
